Orden,DNI,Apellido_Paterno,Apellido_Materno,Nombres,Edad,Direccion,Celular,Correo,Ingreso_Anual,Genero,Estado_Civil,Nivel_Educativo,Ocupacion,Fecha_Nacimiento,Nacionalidad,Provincia,Distrito,Centro_Medico,Tipo_Seguro,Fecha_Registro,Historial_Medico,Medicamentos_Recetados,Citas_Anuales,Peso,Altura,IMC,Presion_Arterial,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Temperatura,Grupo_Sanguineo,Factor_RH,Alergias,Cirugias,Vacunas_Al_Dia,Pruebas_Laboratorio,Ultima_Visita,Dias_Hospitalizacion,Horas_Ejercicio_Semanal,Consumo_Alcohol,Tabaquismo,Dieta_Saludable,Nivel_Estres,Nivel_Satisfaccion,Costo_Citas_Anuales,Costo_Tratamiento,Costo_Medicamentos,Satisfaccion_Servicio
1,96372231,Clark,Petersen,Michael,58,"Unit 0891 Box 1423
DPO AA 67412",+51 982070937,rileydavid@example.net,29660,Femenino,Casado,Primaria,Architectural technologist,1948-01-14,Venezuela,Wyoming,New James,Centro Médico Familiar,Público,2021-07-18,Ninguno,2,8,77.9,1.77,37.6,105/76,73,15,37.6,AB,-,Alimentos,0,Sí,3,2024-01-16,12,8,Ninguno,No,Sí,2,5,1306,3344,619,4
2,31620404,Mcgrath,Murphy,Tanya,25,"59445 Shepard Inlet Suite 800
Carrillostad, MT 32409",+51 945812670,danielmcgrath@example.com,39964,Femenino,Viudo,Técnico,"Conservation officer, historic buildings",1958-10-14,Saint Vincent and the Grenadines,Louisiana,West Joseph,Clínica Salud,Mixto,2024-10-18,Cardiopatía,3,9,61.2,1.77,28.7,101/77,100,14,36.0,O,+,Medicamentos,0,Sí,3,2024-05-15,2,5,Frecuente,Sí,No,6,3,662,5439,3154,5
3,89528213,James,Carson,Anthony,19,"7561 Shawn Expressway
Brightbury, AL 64389",+51 996028436,tvasquez@example.net,30720,Masculino,Soltero,Universitario,Visual merchandiser,1946-10-16,Micronesia,Tennessee,Rodriguezport,Hospital Central,Público,2021-06-14,Cardiopatía,4,5,98.6,1.91,19.5,100/70,69,12,38.8,AB,+,Medicamentos,1,Sí,3,2024-07-09,3,7,Frecuente,Sí,No,8,1,206,9570,2928,2
4,22094984,Griffin,Morales,Krystal,65,"62084 Joshua Glen
East Brendan, UT 67789",+51 955657579,klambert@example.com,14754,Masculino,Casado,Universitario,Clinical molecular geneticist,1981-12-03,Burundi,Alaska,Lake Amanda,Hospital Central,Público,2020-01-21,Hipertensión,5,5,64.9,1.62,20.1,125/73,86,18,36.6,O,+,Ninguna,2,No,3,2024-06-02,8,0,Ocasional,No,Sí,8,10,987,8379,3806,2
5,26570148,Dean,Cunningham,Joseph,35,"4102 Amanda Prairie
Robertachester, HI 43977",+51 924972279,shannon38@example.org,10610,Masculino,Casado,Universitario,Multimedia programmer,1987-03-09,Ecuador,Indiana,Reevesburgh,Centro Médico Familiar,Público,2022-08-20,Cardiopatía,3,8,64.5,1.67,38.4,119/67,99,12,36.4,O,-,Polen,0,Sí,9,2024-07-02,4,10,Ninguno,No,Sí,3,5,1611,7750,4083,2
6,35167744,Mccann,Cabrera,Eric,33,"367 Charles Dam
West Michelle, NJ 84186",+51 949392920,kevin15@example.org,40034,Masculino,Casado,Secundaria,"Scientist, water quality",1963-05-27,San Marino,Nevada,Simpsonhaven,Hospital Central,Privado,2024-01-07,Diabetes,1,4,60.4,1.64,37.8,115/80,88,15,38.2,O,+,Alimentos,1,No,5,2024-07-09,2,8,Ocasional,Sí,No,5,10,1875,4919,4207,4
7,60696390,Escobar,Irwin,Randy,32,"8730 Benjamin Glen
Elizabethport, AS 77412",+51 968353204,jameshamilton@example.org,46896,Femenino,Divorciado,Universitario,"Teacher, secondary school",1998-02-17,Seychelles,New Jersey,North Catherine,Hospital Central,Mixto,2020-02-28,Hipertensión,5,7,85.2,1.97,30.6,101/65,73,20,38.8,A,-,Medicamentos,2,Sí,2,2024-04-08,12,6,Frecuente,Sí,No,6,5,1797,3859,4414,3
8,23670244,Jackson,Clark,Susan,26,"39394 Nicholas Circle
Allisonville, ND 74387",+51 931227574,elizabethzavala@example.org,16552,Masculino,Viudo,Primaria,Theme park manager,1998-12-01,Falkland Islands (Malvinas),Tennessee,Kathleenmouth,Hospital Central,Privado,2020-05-03,Cardiopatía,3,5,65.9,1.86,19.2,130/81,65,17,38.5,B,+,Alimentos,3,No,1,2024-07-13,9,2,Ninguno,No,No,10,1,1187,1616,1105,5
9,76468705,Wade,Paul,Kelly,65,"27372 Eric Port Suite 812
Olsonview, MO 43904",+51 970897765,melanie18@example.net,14801,Masculino,Viudo,Secundaria,Medical sales representative,1970-08-07,Costa Rica,Georgia,Bethmouth,Clínica Salud,Público,2023-07-18,Cardiopatía,2,8,67.4,1.56,38.5,117/72,66,12,37.0,AB,+,Medicamentos,3,Sí,1,2024-09-28,7,0,Ocasional,Sí,Sí,10,8,448,3949,3951,4
10,55292063,Guerra,West,Paul,24,"905 David Corners Suite 661
North Loriton, NY 89832",+51 910435578,rebecca29@example.net,45234,Femenino,Soltero,Técnico,Music tutor,1971-06-11,Nauru,Hawaii,Jessicaborough,Hospital Central,Público,2024-09-09,Ninguno,3,2,96.7,1.9,25.3,91/83,68,17,36.1,O,+,Alimentos,3,Sí,1,2024-04-08,7,9,Frecuente,No,Sí,3,10,1361,9190,4457,1
